"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 12 03:24:24 UTC 2026","Wed Aug 12 03:24:28 UTC 2026","4188","tests.APITests.Web_App_tests","test_Forms","TestForms","","","Given HabiPersona form triggered, When user Login to user portal, Then user should be able to see HabiPersona form in the first order and unless its submitted, other forms should not be visible and can't interact with the app",""
"failed","Wed Aug 12 03:17:43 UTC 2026","Wed Aug 12 03:17:47 UTC 2026","3885","tests.APITests.Web_App_tests","test_AI_Chatbot","TestAI_Chatbot","","","Validate AI chatbot can log food entries and only upon confirmation",""
"failed","Wed Aug 12 03:24:24 UTC 2026","Wed Aug 12 03:24:24 UTC 2026","1","tests.APITests.Web_App_tests","test_Forms","TestForms","","","Given GLP-Survey form configured, When I hit FormBuilder List, Then I should be able to trigger GLP-Survey form to the user selected",""
"passed","Wed Aug 12 03:25:39 UTC 2026","Wed Aug 12 03:25:40 UTC 2026","1154","tests.APITests.Web_App_tests","test_MyMeals","TestMyMeals","","","test_deleteMyMeals",""
"failed","Wed Aug 12 03:17:48 UTC 2026","Wed Aug 12 03:17:48 UTC 2026","120","tests.APITests.Web_App_tests","test_AI_Chatbot","TestAI_Chatbot","","","Validate deleting chats in a specific session and verifying deletion","Test deleting chats in a specific session and validating deletion."
"broken","Wed Aug 12 03:26:34 UTC 2026","Wed Aug 12 03:26:34 UTC 2026","0","tests.APITests.Web_App_tests","test_Paywal","TestPaywal","","","Given a user has subscribed to the plan, When the user tries to access the application, Then the user should not be blocked and should have full access",""
"passed","Wed Aug 12 03:24:03 UTC 2026","Wed Aug 12 03:24:07 UTC 2026","4023","tests.APITests.Web_App_tests","test_CustomRecipes","TestCustomRecipes","","","test_Create_CustomRecipes",""
"passed","Wed Aug 12 03:24:39 UTC 2026","Wed Aug 12 03:24:40 UTC 2026","438","tests.APITests.Web_App_tests","test_Forms","TestForms","","","Given SDOH form triggered, When user Login to user portal, Then user should be able to see SDOH form with the least order and unless its submitted/skipped, user can't interact with the app",""
"passed","Wed Aug 12 03:24:08 UTC 2026","Wed Aug 12 03:24:08 UTC 2026","891","tests.APITests.Web_App_tests","test_CustomRecipes","TestCustomRecipes","","","test_updateCustomRecipe",""
"passed","Wed Aug 12 03:25:35 UTC 2026","Wed Aug 12 03:25:39 UTC 2026","3686","tests.APITests.Web_App_tests","test_MyMeals","TestMyMeals","","","test_Log_MyMeal",""
"passed","Wed Aug 12 03:25:56 UTC 2026","Wed Aug 12 03:26:07 UTC 2026","11333","tests.APITests.Web_App_tests","test_NewUser_2","TestNewUserRoleWithNoOnboarding","","","test_Create_NewUser",""
"passed","Wed Aug 12 03:29:18 UTC 2026","Wed Aug 12 03:29:21 UTC 2026","3437","tests.APITests.Web_App_tests","test_videos","TestVideos","","","demo_videos - HabitNu Program Overview",""
"passed","Wed Aug 12 03:24:20 UTC 2026","Wed Aug 12 03:24:21 UTC 2026","316","tests.APITests.Web_App_tests","test_Forms","TestForms","","","Given I have fetched SDOH forms, Then I should see only those forms assigned to the user partner and validate form details",""
"passed","Wed Aug 12 03:29:22 UTC 2026","Wed Aug 12 03:29:23 UTC 2026","848","tests.APITests.Web_App_tests","test_videos","TestVideos","","","demo_videos - Habitnu App Tutorial",""
"passed","Wed Aug 12 03:24:21 UTC 2026","Wed Aug 12 03:24:21 UTC 2026","1","tests.APITests.Web_App_tests","test_Forms","TestForms","","","Given there are no forms configured for the user partner, Then I should not see any forms assigned to the user selected",""
"passed","Wed Aug 12 03:25:13 UTC 2026","Wed Aug 12 03:25:26 UTC 2026","13587","tests.APITests.Web_App_tests","test_Forms","TestForms","","","Given User has submitted SDOH form, When coach checks this user on coaches portal, Then Coach should be able to see user submitted SDOH form response under User profile-SDOH section",""
