"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 16 14:07:24 UTC 2025","Sat Aug 16 14:07:27 UTC 2025","2410","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","case15","Coaches Portal Feedback URL -> Add Feedback-> Keep other fields empty -> Click on submit feedback",""
"passed","Sat Aug 16 14:07:19 UTC 2025","Sat Aug 16 14:07:19 UTC 2025","247","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testLoginWithoutEmailAndPassword","try login without email and password",""
"passed","Sat Aug 16 14:07:24 UTC 2025","Sat Aug 16 14:07:24 UTC 2025","252","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","case13","Coaches Portal Feedback URL -> Add valid email address -> Keep other fields empty -> Click on submit feedback",""
"passed","Sat Aug 16 14:07:07 UTC 2025","Sat Aug 16 14:07:11 UTC 2025","4377","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testLockAccount","validate users account gets locked after entering incorrect password for 3 times",""
"passed","Sat Aug 16 14:07:24 UTC 2025","Sat Aug 16 14:07:24 UTC 2025","243","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","case12","Coaches Portal Feedback URL -> Keep the feedback page empty -> Click on submit feedback",""
"passed","Sat Aug 16 14:07:27 UTC 2025","Sat Aug 16 14:07:27 UTC 2025","213","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","case17","Coaches Portal Login URL -> Click on terms of use",""
"passed","Sat Aug 16 14:07:14 UTC 2025","Sat Aug 16 14:07:14 UTC 2025","269","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testRestpasswordCase2","validate users be able to reset password, while doing so entering new password, but entering different one in confirm password",""
"passed","Sat Aug 16 14:07:27 UTC 2025","Sat Aug 16 14:07:27 UTC 2025","359","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","case16","Coaches Portal Login URL -> Click on Privacy Policy Link",""
"passed","Sat Aug 16 14:07:22 UTC 2025","Sat Aug 16 14:07:24 UTC 2025","1494","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testLoginWithValidEmailAndInvalidPassword","try login with valid email and invalid password",""
"passed","Sat Aug 16 14:07:27 UTC 2025","Sat Aug 16 14:07:31 UTC 2025","3600","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testClickOnForgetPasswordLink","validate forget-password link button",""
"passed","Sat Aug 16 14:07:14 UTC 2025","Sat Aug 16 14:07:15 UTC 2025","969","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testRestpasswordCase3","validate users be able to reset password, while doing so entering passwords that do not match with previous ones",""
"passed","Sat Aug 16 14:07:24 UTC 2025","Sat Aug 16 14:07:24 UTC 2025","138","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","case11","TC11- Click on Ask us",""
"passed","Sat Aug 16 14:07:24 UTC 2025","Sat Aug 16 14:07:24 UTC 2025","193","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","case14","Coaches Portal Feedback URL -> Add subject-> Keep other fields empty -> Click on submit feedback",""
"passed","Sat Aug 16 14:07:15 UTC 2025","Sat Aug 16 14:07:19 UTC 2025","3657","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testRestpasswordAuthentication","validate user is able to login with the reset password",""
"passed","Sat Aug 16 14:07:19 UTC 2025","Sat Aug 16 14:07:19 UTC 2025","147","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testLoginWithEmptyEmailAndValidPassword","try login with empty email and valid password",""
"passed","Sat Aug 16 14:07:11 UTC 2025","Sat Aug 16 14:07:14 UTC 2025","2474","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testRestpasswordCase1","validate users be able to reset password, while doing so entering passwords that matches with previous ones ",""
"passed","Sat Aug 16 14:07:19 UTC 2025","Sat Aug 16 14:07:19 UTC 2025","137","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testLoginWithValidEmailAndEmptyPassword","try login with valid email and empty password",""
"passed","Sat Aug 16 14:07:19 UTC 2025","Sat Aug 16 14:07:22 UTC 2025","2769","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testLoginWithInvalidEmailAndValidPassword","try login with invalid email and valid password",""
