"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 14 17:07:29 UTC 2025","Thu Aug 14 17:07:33 UTC 2025","4378","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","addChapterToTheCourse","adding a chapter to the course",""
"passed","Thu Aug 14 17:07:28 UTC 2025","Thu Aug 14 17:07:29 UTC 2025","597","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","checkToastMessage","to verify toast message when no content is added to the course",""
"passed","Thu Aug 14 17:07:20 UTC 2025","Thu Aug 14 17:07:20 UTC 2025","244","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","verifyAdminModuleIsAvailable","Verify CustomerAdmin can click on admin option from profile Icon",""
"broken","Thu Aug 14 17:08:04 UTC 2025","Thu Aug 14 17:08:44 UTC 2025","40077","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","verifyContentAdded","verifying add content to the course",""
"broken","Thu Aug 14 17:08:48 UTC 2025","Thu Aug 14 17:08:53 UTC 2025","4741","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","accessCourseContentFromCoachesPortal","access the course content to verify",""
"broken","Thu Aug 14 17:09:33 UTC 2025","Thu Aug 14 17:09:36 UTC 2025","3158","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","checkDefaultCourseInfoMessage","add course to the cohort",""
"passed","Thu Aug 14 17:07:21 UTC 2025","Thu Aug 14 17:07:22 UTC 2025","719","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","clickOnCourseModule","Verify CustomerAdmin can click on course",""
"passed","Thu Aug 14 17:07:20 UTC 2025","Thu Aug 14 17:07:21 UTC 2025","701","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","verifyLandingPageWhichIsProgramsHeadlined","Verify CustomerAdmin now lands on Course configuration page (Programs)",""
"passed","Thu Aug 14 17:09:36 UTC 2025","Thu Aug 14 17:09:40 UTC 2025","4418","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","checkLearnTabWhenNoCourse","check learn tab visibilty on web app when course is published from coaches portal",""
"passed","Thu Aug 14 17:08:44 UTC 2025","Thu Aug 14 17:08:48 UTC 2025","4423","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","letsPublishCourseNow","publish the course",""
"broken","Thu Aug 14 17:08:54 UTC 2025","Thu Aug 14 17:09:33 UTC 2025","38495","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","addCourseToTheCohort","add course to the cohort",""
"passed","Thu Aug 14 17:07:35 UTC 2025","Thu Aug 14 17:07:41 UTC 2025","5519","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","verifyChapterActions","Verify chapter Actions on hovering shows all the buttons",""
"passed","Thu Aug 14 17:07:41 UTC 2025","Thu Aug 14 17:08:00 UTC 2025","18836","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","createContentToTheCourse","create content to the course",""
"broken","Thu Aug 14 17:10:01 UTC 2025","Thu Aug 14 17:10:01 UTC 2025","247","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","courseProgressUnderUserTab","check course tab from main dashboard",""
"passed","Thu Aug 14 17:07:28 UTC 2025","Thu Aug 14 17:07:28 UTC 2025","577","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","publishCourse","Verify CustomerAdmin can publish the course",""
"broken","Thu Aug 14 17:09:40 UTC 2025","Thu Aug 14 17:09:43 UTC 2025","3018","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","accessCourseFromWebApp","accessCourseFromWebApp",""
"passed","Thu Aug 14 17:07:33 UTC 2025","Thu Aug 14 17:07:35 UTC 2025","2080","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","checkChapterAddition","verify course addition",""
"broken","Thu Aug 14 17:09:43 UTC 2025","Thu Aug 14 17:10:01 UTC 2025","17525","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","verifyFromCoachesEndAfterUserWatchesCourse","verify from coaches portal",""
"passed","Thu Aug 14 17:08:00 UTC 2025","Thu Aug 14 17:08:04 UTC 2025","4081","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","addContentToTheCourse","add content to the course",""
"passed","Thu Aug 14 17:07:22 UTC 2025","Thu Aug 14 17:07:28 UTC 2025","5412","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","verifyCourseActions","Verify course Actions on hovering shows all the buttons",""
"passed","Thu Aug 14 17:07:22 UTC 2025","Thu Aug 14 17:07:22 UTC 2025","582","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","createCourse","Verify CustomerAdmin can create course",""
"broken","Thu Aug 14 17:08:53 UTC 2025","Thu Aug 14 17:08:54 UTC 2025","1194","Suite","WebAppTests","CoachesPortal.LearnModule.Learn","CoachesPortal.LearnModule.Learn","addCourseToTheProgram","adding  the course to the program",""
