"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Validate user can enter Address line 1","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate user can select 'Do you have hypertension?==Yes","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","validate Are you currently taking GLP-1 medication?==No","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate all fields such as 'First name', 'last name', 'DOB' and others are displayed properly on 'Let's build your profile' page ","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate user can set Current Weight==150 lbs","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","test case 21","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate user can enter City","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate user is displayed with 'Congratulations! Your profile is complete!' message after clicking 'Submit' button","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate user can select State==Alabama","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate user can select Date","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate user can select Diabetes Status==Diabetes","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate clicking 'Next' button on 'Let's get started!' page navigates to 'Build your profile'screen","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate User sees 'End User License Agreement', 'Decline', 'Accept' and others  in the first page of EULA banner","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","validate Final Step screen and elements  in EULA banner","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","validate user can enter valid zipcode","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate user can set Height=5feet & 7 inches","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate user can Submit EULA with all required details","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate user can check-in hippa consent form and proceed to next screen","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate 'is required' messages when clicked 'Next' button without filling details","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate user can select SEX","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Verify by default 'English' language is loaded","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate zipcode error message 'Zip code must be either 5 digits (XXXXX) or 9 digits (XXXXX-XXXX)'","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate user finally lands inside app, after clicking 'Finish' button","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate user can set Current Physical Activity==Light","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate 'End User License Agreement' is now translated to changed language 'Spanish'","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","validate 'Please review and accept the required MUSC consent forms to continue' error message","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","validate Please let us know which health plan you are covered by == Medicaid","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate 'Let's get started!' page displays 'Do Not Enroll' and 'Next' button","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate user can change the language to 'Spanish'","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate user can set Target weight==140lbs","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","18899","test case 1","","2026-09-08","failed","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate 'HIPAA consent' is displayed","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","Validate clicking 'Accept' button navigates to 'Let's get started!' page","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
"","0","validate user can answer  What are you most interested in? (Select all that apply) == Mindfulness","","2026-09-08","skipped","2026-09-08","","EULA_BANNER_CHECK_FLOW_FOR_MUSC_USERS","",""
