"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39057","test_updateWeight","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","11315","test_ReadMeal","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","24078","test_updateMeal","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","14370","test_edit_post","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","427","test_validateWeightTargetAchieved","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","48609","test_viewProgramVideos","tests.userJourneySanity","2025-12-25","failed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","66576","test_deleteMeal","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","20024","test_adding_comment","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","75128","test_add_weight","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","11019","test_user_is_able_to_view_profile_details","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","41950","test_viewDemoVideos","tests.userJourneySanity","2025-12-25","broken","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","19427","test_addDiscussionPost","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","77295","test_viewFitnessVideos","tests.userJourneySanity","2025-12-25","broken","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","12193","test_saveMeal_target","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","10625","test_checkMyPosts","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","24072","test_createMeal","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","55611","test_user_is_able_to_remove_profile_picture","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","2259","test_validate_mealTargetSet","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","6349","test_No_Weights_case","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","1307","test_validate_weightTargetSet","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","15223","test_deleteWeight","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","19420","test_No_PostScenario","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","35039","test_userlogin","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","33394","test_user_is_able_to_view_error_message_forIncorrect_zipcode","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","28789","test_user_is_able_to_update_profile_picture","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","1437","test_user_is_able_to_click_on_profile_avatar","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","24947","test_setWeightTarget","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","1540","test_validateAddedWeight","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","31129","test_user_is_able_to_view_and_edit_basic_info","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","10092","test_user_is_able_to_view_and_edit_contact_info","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","44001","test_user_is_able_to_view_and_edit_health_info","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
"","1283","test_validateMealTargetAchieved","tests.userJourneySanity","2025-12-25","passed","2025-12-25","TestUserJourneySanity","test_sanity","",""
