"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 16 12:19:33 UTC 2025","Sat Aug 16 12:19:33 UTC 2025","210","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","case17","Coaches Portal Login URL -> Click on terms of use",""
"passed","Sat Aug 16 12:19:33 UTC 2025","Sat Aug 16 12:19:33 UTC 2025","483","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","case16","Coaches Portal Login URL -> Click on Privacy Policy Link",""
"passed","Sat Aug 16 12:19:20 UTC 2025","Sat Aug 16 12:19:20 UTC 2025","273","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testRestpasswordCase2","validate users be able to reset password, while doing so entering new password, but entering different one in confirm password",""
"passed","Sat Aug 16 12:19:21 UTC 2025","Sat Aug 16 12:19:25 UTC 2025","3252","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testRestpasswordAuthentication","validate user is able to login with the reset password",""
"passed","Sat Aug 16 12:19:30 UTC 2025","Sat Aug 16 12:19:33 UTC 2025","2479","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","case15","Coaches Portal Feedback URL -> Add Feedback-> Keep other fields empty -> Click on submit feedback",""
"passed","Sat Aug 16 12:19:25 UTC 2025","Sat Aug 16 12:19:28 UTC 2025","2768","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testLoginWithInvalidEmailAndValidPassword","try login with invalid email and valid password",""
"passed","Sat Aug 16 12:19:33 UTC 2025","Sat Aug 16 12:19:47 UTC 2025","14087","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testClickOnForgetPasswordLink","validate forget-password link button",""
"passed","Sat Aug 16 12:19:30 UTC 2025","Sat Aug 16 12:19:30 UTC 2025","189","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","case14","Coaches Portal Feedback URL -> Add subject-> Keep other fields empty -> Click on submit feedback",""
"passed","Sat Aug 16 12:19:25 UTC 2025","Sat Aug 16 12:19:25 UTC 2025","144","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testLoginWithEmptyEmailAndValidPassword","try login with empty email and valid password",""
"passed","Sat Aug 16 12:19:30 UTC 2025","Sat Aug 16 12:19:30 UTC 2025","244","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","case12","Coaches Portal Feedback URL -> Keep the feedback page empty -> Click on submit feedback",""
"passed","Sat Aug 16 12:19:13 UTC 2025","Sat Aug 16 12:19:17 UTC 2025","4465","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testLockAccount","validate users account gets locked after entering incorrect password for 3 times",""
"passed","Sat Aug 16 12:19:29 UTC 2025","Sat Aug 16 12:19:30 UTC 2025","139","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","case11","TC11- Click on Ask us",""
"passed","Sat Aug 16 12:19:20 UTC 2025","Sat Aug 16 12:19:21 UTC 2025","947","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testRestpasswordCase3","validate users be able to reset password, while doing so entering passwords that do not match with previous ones",""
"passed","Sat Aug 16 12:19:30 UTC 2025","Sat Aug 16 12:19:30 UTC 2025","260","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","case13","Coaches Portal Feedback URL -> Add valid email address -> Keep other fields empty -> Click on submit feedback",""
"passed","Sat Aug 16 12:19:18 UTC 2025","Sat Aug 16 12:19:20 UTC 2025","2524","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testRestpasswordCase1","validate users be able to reset password, while doing so entering passwords that matches with previous ones ",""
"passed","Sat Aug 16 12:19:25 UTC 2025","Sat Aug 16 12:19:25 UTC 2025","243","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testLoginWithoutEmailAndPassword","try login without email and password",""
"passed","Sat Aug 16 12:19:25 UTC 2025","Sat Aug 16 12:19:25 UTC 2025","139","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testLoginWithValidEmailAndEmptyPassword","try login with valid email and empty password",""
"passed","Sat Aug 16 12:19:28 UTC 2025","Sat Aug 16 12:19:29 UTC 2025","1544","Suite","SingleClassRun","CoachesPortal.LoginPageCases","CoachesPortal.LoginPageCases","testLoginWithValidEmailAndInvalidPassword","try login with valid email and invalid password",""
